Player,Year,Surface,Matches,Wins,Win_pct
Beck K.,2012,Clay,2,0,0.0
Beck K.,2012,Grass,1,0,0.0
Beck K.,2012,Hard,8,2,25.0
Becker B.,2006,Carpet,1,0,0.0
Becker B.,2006,Grass,3,1,33.33333333333333
Becker B.,2006,Hard,12,8,66.66666666666666
Becker B.,2007,Carpet,2,1,50.0
Becker B.,2007,Clay,11,3,27.27272727272727
Becker B.,2007,Grass,5,2,40.0
Becker B.,2007,Hard,33,15,45.45454545454545
Becker B.,2008,Carpet,3,2,66.66666666666666
Becker B.,2008,Clay,3,0,0.0
Becker B.,2008,Grass,6,2,33.33333333333333
Becker B.,2008,Hard,17,5,29.411764705882355
Becker B.,2009,Grass,11,8,72.72727272727273
Becker B.,2009,Hard,21,6,28.57142857142857
Becker B.,2010,Clay,8,3,37.5
Becker B.,2010,Grass,10,7,70.0
Becker B.,2010,Hard,38,17,44.73684210526316
Becker B.,2011,Clay,1,0,0.0
Becker B.,2011,Hard,11,3,27.27272727272727
Becker B.,2012,Clay,1,0,0.0
Becker B.,2012,Grass,5,3,60.0
Becker B.,2012,Hard,17,7,41.17647058823529
Becker B.,2013,Clay,2,0,0.0
Becker B.,2013,Grass,5,3,60.0
Becker B.,2013,Hard,22,6,27.27272727272727
Becker B.,2014,Clay,7,2,28.57142857142857
Becker B.,2014,Grass,8,5,62.5
Becker B.,2014,Hard,35,17,48.57142857142857
Becker B.,2015,Clay,6,2,33.33333333333333
Becker B.,2015,Grass,2,0,0.0
Becker B.,2015,Hard,21,7,33.33333333333333
Becker B.,2016,Clay,4,1,25.0
Becker B.,2016,Grass,8,4,50.0
Becker B.,2016,Hard,14,4,28.57142857142857
Becker B.,2017,Clay,1,0,0.0
Becker B.,2017,Hard,2,0,0.0
Becker B. ,2009,Hard,1,0,0.0
Becroft I.,2025,Hard,1,0,0.0
Bedene A.,2011,Hard,1,0,0.0
Bedene A.,2012,Clay,4,1,25.0
Bedene A.,2012,Hard,2,2,100.0
Bedene A.,2013,Clay,15,6,40.0
Bedene A.,2013,Grass,3,1,33.33333333333333
Bedene A.,2013,Hard,11,4,36.36363636363637
Bedene A.,2014,Clay,5,1,20.0
Bedene A.,2014,Grass,2,0,0.0
Bedene A.,2014,Hard,5,2,40.0
Bedene A.,2015,Clay,10,5,50.0
Bedene A.,2015,Grass,4,2,50.0
Bedene A.,2015,Hard,19,9,47.368421052631575
Bedene A.,2016,Clay,12,4,33.33333333333333
Bedene A.,2016,Grass,5,2,40.0
Bedene A.,2016,Hard,11,5,45.45454545454545
Bedene A.,2017,Clay,14,8,57.14285714285714
Bedene A.,2017,Grass,6,4,66.66666666666666
Bedene A.,2017,Hard,13,6,46.15384615384615
Bedene A.,2018,Clay,21,13,61.904761904761905
Bedene A.,2018,Grass,4,1,25.0
Bedene A.,2018,Hard,10,2,20.0
Bedene A.,2019,Clay,16,9,56.25
Bedene A.,2019,Grass,4,1,25.0
Bedene A.,2019,Hard,14,8,57.14285714285714
Bedene A.,2020,Clay,2,2,100.0
Bedene A.,2020,Hard,18,8,44.44444444444444
Bedene A.,2021,Clay,11,5,45.45454545454545
Bedene A.,2021,Grass,5,2,40.0
Bedene A.,2021,Hard,13,7,53.84615384615385
Bedene A.,2022,Clay,8,3,37.5
Bedene A.,2022,Grass,2,0,0.0
Bedene A.,2022,Hard,3,0,0.0
Bega A.,2017,Hard,1,0,0.0
Behr N.,2001,Hard,9,4,44.44444444444444
Behrend T.,2000,Clay,8,3,37.5
Behrend T.,2000,Hard,10,4,40.0
Behrend T.,2001,Clay,8,4,50.0
Behrend T.,2001,Hard,5,1,20.0
Behrend T.,2002,Clay,1,0,0.0
Behrend T.,2002,Hard,2,1,50.0
Behrend T.,2003,Carpet,2,1,50.0
Behrend T.,2003,Clay,12,5,41.66666666666667
Behrend T.,2003,Grass,1,0,0.0
Behrend T.,2003,Hard,8,4,50.0
